!Name       A       n       Ea(cal/mol)
t_HONO      2.0e18   0.0     49.5e3
c_HONO      2.0e18   0.0     49.5e3
NO2         2.0e18   0.0     49.5e3
NO          2.0e18   0.0     49.5e3
CH2O        2.0e18   0.0     49.5e3
N2O         2.0e18   0.0     49.5e3
H2O         2.0e18   0.0     49.5e3
HCN         2.0e18   0.0     49.5e3
N2          2.0e18   0.0     49.5e3
CO          2.0e18   0.0     49.5e3
CO2         2.0e18   0.0     49.5e3
CH2NH       2.0e18   0.0     49.5e3
NH2CHO      2.0e18   0.0     49.5e3
HNCO        2.0e18   0.0     49.5e3
HCOOH       2.0e18   0.0     49.5e3
TAZ         2.0e18   0.0     49.5e3
HNO         2.0e18   0.0     49.5e3
HMX         2.0e18   0.0     49.5e3
