        Time(s)         Temp(K)     Mc(t)/Mc(o)            HMX        INT249a         t_HONO             NO         ONTNTA            NO2        INT295a         c_HONO          ONNO2            H2O        INT202a        INT202c        INT296a     INT296a_RO        INT206e            N2O        INT325a        INT248a        INT233a        INT279a        INT279b        INT101a     INT202c_RO     INT128a_RO        CH2NNO2        INT128a            TAZ        INT132a    INT325a_RO1        INT235b        INT189b    INT325a_RO2        INT251c        INT205c        INT148a        CH2NCHO         INT91a        INT177a        INT120b           CH2O            HCN           CH2N         CH2NNO        INT121a        INT150a         INT75a         INT74a          CH2NH        INT186b     INT186b_RO        INT112c        INT112a        INT280a     INT280a_RO        INT232a    INT233a_RO1        INT159a       CH2NHCHO         INT86a        INT265a     INT235a_RO        INT161a        INT281a        INT251d        INT177b        INT133a    INT103c_cis            HNO             CO         CH2NCO         INT76a         NH2CHO          NH2NO        INT105a         INT75f            N2H        INT206a        INT206b        INT235a     INT159a_RO         INT85d          HCOOH         INT88d        INT162b        INT132d         INT85b        INT161f        INT131b         INT87d        INT115a        INT114a        INT131a        INT207a        INT177c        INT103e        INT191b        INT161b           HNCO         INT90b            CO2           ONNH          NH2CO         INT84f           OCHO            HCO         INT77a           HOCO       CH2NCOOH             N2
          0.000         548.150       1.000E+00      1.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00
          2.001         548.650       1.000E+00      9.996E-01      2.314E-06      1.546E-06      3.848E-05      7.247E-07      1.192E-04      8.906E-12      4.618E-07      2.069E-07      2.329E-05      8.871E-10      7.635E-10      8.043E-14      1.123E-11      1.214E-08      6.076E-05      4.429E-15      2.065E-15      1.655E-12      8.718E-15      1.560E-17      4.513E-11      1.618E-17      1.080E-14      3.154E-06      9.617E-11      1.295E-10      4.879E-12      4.396E-15      3.011E-15      3.192E-08      3.156E-15      2.643E-15      2.443E-08      1.200E-19      9.088E-07      1.512E-14      1.453E-23      1.281E-13      3.750E-06      5.494E-05      1.211E-09      7.125E-10      1.579E-10      9.212E-16      9.095E-18      1.941E-13      6.291E-08      3.219E-19      4.830E-27      9.642E-27      2.543E-20      2.917E-18      1.880E-17      5.793E-16      2.187E-19      5.487E-18      2.728E-08      8.005E-05      4.251E-15      2.504E-17      1.556E-17      3.420E-15      3.629E-17      2.569E-17      8.164E-12      2.474E-12      5.586E-10      7.170E-06      9.353E-08      1.565E-12      2.621E-10      9.055E-13      6.280E-11      9.245E-15      1.185E-12      8.129E-25      1.491E-23      1.530E-20      1.553E-29      2.702E-29      8.036E-06      2.254E-17      5.329E-09      1.384E-12      9.537E-13      2.148E-17      2.353E-20      1.532E-12      1.283E-11      8.135E-18      1.305E-10      1.388E-16      8.610E-20      1.319E-15      2.409E-17      2.328E-20      6.732E-10      5.399E-19      9.172E-10      3.798E-16      1.880E-14      9.227E-31      1.147E-14      1.625E-06      3.281E-15      1.333E-09      1.182E-11      5.020E-06
          4.001         549.150       9.999E-01      9.988E-01      1.387E-06      3.478E-06      1.680E-04      7.280E-06      1.751E-04      1.348E-11      1.040E-06      1.325E-06      1.025E-04      7.833E-10      7.803E-10      1.087E-13      1.536E-11      1.623E-08      1.787E-04      1.721E-14      1.867E-15      1.028E-11      2.370E-14      2.368E-16      3.997E-11      1.681E-17      1.321E-14      3.362E-06      1.166E-10      4.600E-10      6.086E-12      1.722E-14      1.175E-14      3.409E-07      1.253E-14      1.041E-14      2.455E-07      2.435E-19      4.290E-07      3.730E-14      8.364E-23      8.784E-13      5.869E-05      2.337E-04      8.476E-10      2.141E-09      3.863E-10      6.421E-15      1.460E-17      2.101E-13      2.253E-08      3.932E-18      5.997E-26      2.309E-25      6.026E-19      4.055E-17      2.652E-16      2.632E-15      1.379E-18      1.425E-16      3.734E-08      3.732E-05      2.917E-13      1.755E-15      1.085E-15      2.209E-13      2.400E-15      1.686E-15      2.915E-11      7.484E-12      7.825E-10      3.082E-05      6.684E-08      1.261E-12      1.621E-10      3.115E-12      1.435E-10      2.157E-14      1.880E-12      4.763E-23      8.855E-22      1.080E-18      4.134E-28      7.122E-28      1.150E-04      2.407E-17      1.588E-08      4.228E-12      6.674E-13      9.614E-17      1.079E-19      3.213E-12      6.610E-10      6.269E-16      2.323E-08      1.584E-13      1.007E-16      9.987E-16      7.959E-15      7.884E-18      2.820E-09      5.194E-18      3.293E-08      1.334E-15      1.315E-14      7.616E-29      1.129E-13      1.749E-05      1.169E-13      1.300E-08      7.944E-11      7.126E-05
          6.000         549.650       9.999E-01      9.976E-01      9.868E-07      7.946E-06      3.147E-04      2.296E-05      3.112E-04      2.467E-11      2.378E-06      4.408E-06      1.935E-04      9.866E-10      6.171E-10      1.771E-13      2.547E-11      2.614E-08      3.524E-04      4.130E-14      2.422E-15      2.375E-11      3.420E-14      1.366E-15      5.047E-11      1.351E-17      1.074E-14      4.957E-06      9.399E-11      7.762E-10      9.501E-12      4.179E-14      2.825E-14      8.727E-07      3.085E-14      2.528E-14      5.085E-07      7.156E-19      1.995E-07      1.257E-13      3.583E-22      4.328E-12      1.508E-04      4.638E-04      7.032E-10      3.273E-09      1.292E-09      3.223E-14      2.820E-17      3.144E-13      1.760E-08      1.338E-17      2.074E-25      1.077E-24      2.775E-18      2.130E-16      1.423E-15      3.971E-15      3.232E-18      5.468E-16      2.627E-08      1.759E-05      2.493E-12      1.541E-14      9.425E-15      1.528E-12      1.707E-14      1.186E-14      5.657E-11      1.159E-11      6.444E-10      4.594E-05      5.604E-08      2.250E-12      1.562E-10      6.573E-12      3.715E-10      5.705E-14      2.793E-12      4.187E-22      7.940E-21      9.549E-18      1.625E-27      2.773E-27      2.813E-04      2.631E-17      2.484E-08      6.803E-12      5.713E-13      2.735E-16      3.157E-19      2.852E-12      3.207E-09      5.506E-15      2.164E-07      4.917E-12      3.216E-15      2.715E-15      1.286E-13      1.310E-16      4.817E-09      2.069E-17      1.242E-07      2.873E-15      1.471E-14      5.871E-28      2.380E-13      3.570E-05      6.932E-13      2.541E-08      1.260E-10      1.742E-04
          8.000         550.150       9.998E-01      9.956E-01      7.554E-07      1.828E-05      5.386E-04      5.125E-05      5.781E-04      4.706E-11      5.477E-06      1.400E-05      3.350E-04      1.403E-09      4.787E-10      3.128E-13      4.619E-11      4.566E-08      6.541E-04      1.021E-13      3.528E-15      4.147E-11      5.293E-14      5.815E-15      7.195E-11      1.065E-17      8.302E-15      8.636E-06      7.209E-11      1.029E-09      1.649E-11      1.049E-13      6.940E-14      1.190E-06      7.891E-14      6.308E-14      4.944E-07      2.387E-18      1.143E-07      5.073E-13      1.658E-21      2.406E-11      3.203E-04      8.415E-04      6.762E-10      5.311E-09      5.170E-09      1.831E-13      6.344E-17      5.561E-13      1.809E-08      2.895E-17      4.563E-25      2.698E-24      6.864E-18      8.522E-16      5.864E-15      5.357E-15      5.725E-18      1.081E-15      2.097E-08      9.918E-06      1.084E-11      6.939E-14      4.155E-14      4.734E-12      5.477E-14      3.728E-14      1.411E-10      2.109E-11      5.763E-10      6.123E-05      6.009E-08      5.320E-12      2.002E-10      1.395E-11      1.208E-09      1.890E-13      4.975E-12      1.910E-21      3.723E-20      4.330E-17      3.289E-27      5.569E-27      5.730E-04      3.469E-17      4.441E-08      1.257E-11      6.104E-13      9.274E-16      1.107E-18      2.854E-12      7.450E-09      2.415E-14      5.468E-07      3.954E-11      2.675E-14      1.655E-14      9.503E-13      1.002E-15      8.358E-09      8.416E-17      3.682E-07      6.208E-15      2.201E-14      3.458E-27      4.649E-13      6.224E-05      3.422E-12      4.277E-08      1.998E-10      3.566E-04
         10.001         550.650       9.996E-01      9.919E-01      5.933E-07      4.218E-05      9.068E-04      9.979E-05      1.075E-03      8.933E-11      1.265E-05      4.384E-05      5.753E-04      2.053E-09      3.821E-10      5.697E-13      8.740E-11      8.224E-08      1.207E-03      2.562E-13      5.256E-15      6.438E-11      9.577E-14      2.153E-14      1.056E-10      8.634E-18      6.596E-15      1.559E-05      5.681E-11      1.231E-09      2.963E-11      2.690E-13      1.709E-13      9.491E-07      2.080E-13      1.590E-13      3.787E-07      8.186E-18      6.891E-08      2.130E-12      7.757E-21      1.367E-10      6.528E-04      1.507E-03      6.722E-10      8.820E-09      2.153E-08      1.068E-12      1.474E-16      1.019E-12      1.979E-08      5.125E-17      8.209E-25      4.804E-24      1.206E-17      3.052E-15      2.189E-14      7.282E-15      9.015E-18      1.244E-15      1.713E-08      5.824E-06      2.718E-11      1.824E-13      1.051E-13      1.140E-11      1.384E-13      9.042E-14      4.067E-10      3.981E-11      5.281E-10      7.900E-05      6.783E-08      1.344E-11      2.750E-10      2.961E-11      4.128E-09      6.532E-13      9.238E-12      5.095E-21      1.033E-19      1.146E-16      3.878E-27      6.542E-27      1.115E-03      4.781E-17      8.155E-08      2.406E-11      6.773E-13      3.221E-15      4.018E-18      2.954E-12      9.835E-09      6.003E-14      4.697E-07      1.066E-10      7.532E-14      4.371E-14      3.936E-12      4.336E-15      1.438E-08      3.389E-16      1.104E-06      1.334E-14      3.599E-14      1.954E-26      9.058E-13      1.034E-04      1.627E-11      6.826E-08      3.125E-10      7.009E-04
         12.001         551.150       9.993E-01      9.850E-01      4.710E-07      9.696E-05      1.508E-03      1.803E-04      1.985E-03      1.677E-10      2.911E-05      1.346E-04      9.919E-04      3.016E-09      3.279E-10      1.045E-12      1.714E-10      1.492E-07      2.257E-03      6.428E-13      7.858E-15      9.365E-11      2.084E-13      7.339E-14      1.555E-10      7.530E-18      5.580E-15      2.786E-05      4.766E-11      1.398E-09      5.389E-11      6.992E-13      4.145E-13      7.220E-07      5.681E-13      4.006E-13      3.041E-07      2.808E-17      4.367E-08      8.831E-12      3.573E-20      7.539E-10      1.325E-03      2.690E-03      6.699E-10      1.452E-08      8.855E-08      6.157E-12      3.417E-16      1.849E-12      2.153E-08      8.154E-17      1.328E-24      7.494E-24      1.856E-17      1.020E-14      7.853E-14      1.052E-14      1.330E-17      1.383E-15      1.417E-08      3.491E-06      6.375E-11      4.614E-13      2.485E-13      2.822E-11      3.711E-13      2.254E-13      1.339E-09      7.731E-11      4.819E-10      1.009E-04      7.964E-08      3.365E-11      3.787E-10      5.418E-11      1.377E-08      2.202E-12      1.686E-11      1.308E-20      2.834E-19      2.920E-16      4.417E-27      7.423E-27      2.130E-03      6.702E-17      1.499E-07      4.730E-11      7.610E-13      1.111E-14      1.489E-17      3.206E-12      1.209E-08      1.378E-13      3.677E-07      2.568E-10      1.948E-13      1.051E-13      1.489E-11      1.764E-14      2.114E-08      1.162E-15      3.509E-06      2.474E-14      5.705E-14      1.085E-25      1.767E-12      1.703E-04      7.671E-11      1.065E-07      4.791E-10      1.365E-03
         14.001         551.650       9.988E-01      9.724E-01      3.784E-07      2.157E-04      2.423E-03      3.054E-04      3.573E-03      3.051E-10      6.484E-05      3.891E-04      1.696E-03      4.374E-09      3.299E-10      1.877E-12      3.425E-10      2.651E-07      4.322E-03      1.556E-12      1.160E-14      1.297E-10      5.111E-13      2.287E-13      2.262E-10      7.698E-18      5.435E-15      4.662E-05      4.605E-11      1.552E-09      9.629E-11      1.784E-12      9.476E-13      5.605E-07      1.587E-12      9.736E-13      2.520E-07      9.198E-17      3.033E-08      3.322E-11      1.530E-19      3.665E-09      2.728E-03      4.717E-03      6.476E-10      2.241E-08      3.304E-07      3.241E-11      7.441E-16      3.140E-12      2.203E-08      1.213E-16      2.008E-24      1.112E-23      2.718E-17      3.143E-14      2.702E-13      1.719E-14      1.869E-17      1.589E-15      1.194E-08      2.165E-06      1.437E-10      1.167E-12      5.646E-13      6.791E-11      1.021E-12      5.461E-13      4.946E-09      1.543E-10      4.211E-10      1.304E-04      9.921E-08      7.666E-11      4.880E-10      7.656E-11      4.077E-08      6.570E-12      2.793E-11      3.359E-20      8.088E-19      7.439E-16      5.200E-27      8.705E-27      4.006E-03      9.408E-17      2.686E-07      9.469E-11      8.626E-13      3.644E-14      5.501E-17      3.735E-12      1.444E-08      2.998E-13      3.029E-07      6.132E-10      5.233E-13      2.522E-13      5.154E-11      6.887E-14      2.414E-08      2.994E-15      1.159E-05      3.554E-14      7.777E-14      5.622E-25      3.399E-12      2.866E-04      3.551E-10      1.649E-07      7.070E-10      2.648E-03
         16.001         552.150       9.979E-01      9.504E-01      3.111E-07      4.407E-04      3.614E-03      4.751E-04      6.069E-03      5.186E-10      1.326E-04      9.855E-04      2.789E-03      6.125E-09      4.227E-10      3.169E-12      6.701E-10      4.428E-07      8.487E-03      3.422E-12      1.653E-14      1.702E-10      1.233E-12      6.172E-13      3.176E-10      1.002E-17      6.700E-15      6.792E-05      5.630E-11      1.722E-09      1.620E-10      4.196E-12      1.916E-12      4.411E-07      4.349E-12      2.150E-12      2.170E-07      2.672E-16      2.358E-08      1.001E-10      5.545E-19      1.359E-08      5.677E-03      7.849E-03      5.898E-10      3.030E-08      9.873E-07      1.388E-10      1.401E-15      4.644E-12      2.038E-08      1.709E-16      2.875E-24      1.583E-23      3.818E-17      8.424E-14      8.431E-13      3.321E-14      2.487E-17      1.841E-15      1.035E-08      1.435E-06      2.882E-10      2.732E-12      1.140E-12      1.489E-10      2.751E-12      1.205E-12      1.885E-08      2.998E-10      3.407E-10      1.743E-04      1.297E-07      1.450E-10      5.554E-10      8.780E-11      9.610E-08      1.554E-11      3.885E-11      7.984E-20      2.225E-18      1.754E-15      6.170E-27      1.029E-26      7.310E-03      1.296E-16      4.512E-07      1.890E-10      9.853E-13      1.058E-13      1.919E-16      4.583E-12      1.608E-08      5.733E-13      2.603E-07      1.340E-09      1.372E-12      5.544E-13      1.460E-10      2.350E-13      2.297E-08      5.901E-15      3.772E-05      4.170E-14      8.967E-14      2.438E-24      6.294E-12      5.009E-04      1.526E-09      2.545E-07      9.793E-10      5.027E-03
         18.001         552.650       9.964E-01      9.147E-01      2.630E-07      7.908E-04      4.879E-03      6.559E-04      9.422E-03      7.933E-10      2.382E-04      2.065E-03      4.274E-03      8.066E-09      6.435E-10      4.832E-12      1.210E-09      6.680E-07      1.651E-02      6.453E-12      2.217E-14      2.067E-10      2.570E-12      1.351E-12      4.192E-10      1.550E-17      1.007E-14      8.306E-05      8.393E-11      1.963E-09      2.466E-10      8.479E-12      3.259E-12      3.535E-07      1.092E-11      4.070E-12      1.937E-07      6.411E-16      2.007E-08      2.223E-10      1.563E-18      3.497E-08      1.145E-02      1.199E-02      5.064E-10      3.493E-08      2.176E-06      4.498E-10      2.186E-15      5.765E-12      1.726E-08      2.262E-16      3.867E-24      2.144E-23      5.101E-17      1.836E-13      2.185E-12      6.902E-14      3.064E-17      2.090E-15      9.206E-09      1.037E-06      4.881E-10      5.504E-12      1.937E-12      2.804E-10      6.789E-12      2.280E-12      6.399E-08      5.208E-10      2.574E-10      2.429E-04      1.697E-07      2.205E-10      5.574E-10      8.753E-11      1.730E-07      2.780E-11      4.476E-11      1.633E-19      5.382E-18      3.559E-15      7.172E-27      1.192E-26      1.263E-02      1.709E-16      6.857E-07      3.621E-10      1.120E-12      2.543E-13      5.874E-16      5.587E-12      1.650E-08      9.229E-13      2.321E-07      2.522E-09      3.292E-12      1.048E-12      3.168E-10      6.516E-13      1.976E-08      9.241E-15      1.136E-04      4.319E-14      9.052E-14      8.065E-24      1.091E-11      8.829E-04      5.583E-09      3.867E-07      1.260E-09      9.025E-03
