        Time(s)         Temp(K)     Mc(t)/Mc(o)            HMX        INT249a         t_HONO             NO         ONTNTA            NO2        INT295a         c_HONO          ONNO2            H2O        INT202a        INT202c        INT296a     INT296a_RO        INT206e            N2O        INT325a        INT248a        INT233a        INT279a        INT279b        INT101a     INT202c_RO     INT128a_RO        CH2NNO2        INT128a            TAZ        INT132a    INT325a_RO1        INT235b        INT189b    INT325a_RO2        INT251c        INT205c        INT148a        CH2NCHO         INT91a        INT177a        INT120b           CH2O            HCN           CH2N         CH2NNO        INT121a        INT150a         INT75a         INT74a          CH2NH        INT186b     INT186b_RO        INT112c        INT112a        INT280a     INT280a_RO        INT232a    INT233a_RO1        INT159a       CH2NHCHO         INT86a        INT265a     INT235a_RO        INT161a        INT281a        INT251d        INT177b        INT133a    INT103c_cis            HNO             CO         CH2NCO         INT76a         NH2CHO          NH2NO        INT105a         INT75f            N2H        INT206a        INT206b        INT235a     INT159a_RO         INT85d          HCOOH         INT88d        INT162b        INT132d         INT85b        INT161f        INT131b         INT87d        INT115a        INT114a        INT131a        INT207a        INT177c        INT103e        INT191b        INT161b           HNCO         INT90b            CO2           ONNH          NH2CO         INT84f           OCHO            HCO         INT77a           HOCO       CH2NCOOH             N2
          0.000         548.150       1.000E+00     -5.587E-07      5.587E-07      5.587E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00
          2.001         548.650       1.000E+00     -1.866E-06     -3.863E-09      2.604E-06      2.709E-06      7.154E-09      1.851E-06     -3.362E-12     -2.564E-06      6.844E-08      2.804E-06      1.509E-12      1.275E-12     -2.574E-12     -1.096E-12      3.338E-11      1.867E-06     -2.626E-15     -9.929E-16      1.708E-14     -4.800E-15     -4.926E-18      1.550E-13     -1.493E-14     -4.642E-14      3.568E-08      5.158E-13      2.812E-12     -3.607E-12     -4.820E-16      1.076E-17      5.853E-10     -4.106E-16      2.657E-17      4.121E-10     -2.790E-20      7.340E-09      2.926E-16     -1.364E-23      4.275E-15      5.638E-07      3.996E-06      7.737E-11     -1.915E-12      2.400E-12     -4.925E-16     -5.353E-17      7.739E-16     -4.682E-10      5.375E-21     -3.468E-24     -1.887E-25      8.667E-22      1.257E-17     -2.516E-18     -1.705E-16     -2.792E-18      1.592E-19      1.112E-09      3.667E-07      8.685E-17     -6.267E-18      5.466E-19      5.553E-17     -8.660E-18      9.850E-19      2.109E-13      8.063E-14     -3.931E-11      6.988E-07      2.040E-09     -6.212E-12      3.360E-12      2.681E-14      1.512E-12      9.144E-15     -1.525E-15      1.677E-23     -2.403E-24      4.144E-22     -1.531E-25      5.554E-30      7.847E-07      3.467E-19      1.088E-10     -1.246E-12     -1.196E-12      5.473E-19     -1.647E-20     -1.186E-12      6.512E-13     -9.436E-19      7.249E-12      6.935E-18     -3.241E-20     -1.613E-15      1.069E-18     -1.099E-20      4.027E-11      5.293E-19      1.192E-10      1.044E-17      2.071E-16     -3.214E-31      9.580E-16      2.454E-07      2.330E-16      1.288E-10      7.316E-13      8.043E-07
          4.001         549.150       9.999E-01     -2.569E-06     -1.895E-09      2.508E-06      3.944E-06      3.224E-08      1.881E-06     -2.175E-12     -2.446E-06     -3.671E-07      3.646E-06      1.753E-13     -5.794E-13     -4.765E-12     -6.702E-13      2.605E-11      2.550E-06     -1.342E-14     -5.287E-16      4.078E-14     -1.105E-14     -8.395E-17      1.858E-14     -6.463E-15     -2.354E-14      4.612E-09     -7.029E-14      3.501E-12     -2.172E-12     -8.206E-16      1.447E-17      1.945E-09     -6.793E-16      1.745E-17      1.172E-09     -1.424E-19     -6.461E-09      2.927E-16     -1.247E-22      9.040E-15      1.985E-06      5.887E-06     -7.271E-12     -1.777E-12      2.371E-12     -3.484E-15     -3.219E-17     -3.643E-16     -4.096E-10      2.862E-20     -1.855E-23     -1.943E-24      9.161E-21     -2.164E-18     -1.485E-17     -1.636E-16     -7.532E-18      1.306E-18     -2.835E-10     -3.639E-07      2.370E-15     -1.618E-16      1.295E-17      1.442E-15     -2.054E-16      1.831E-18      2.163E-14      8.759E-15     -1.807E-11      5.034E-07     -5.371E-10     -5.900E-12     -1.389E-12      4.707E-14      5.050E-13     -1.572E-14      1.386E-14     -1.753E-24     -5.193E-23      9.755E-21     -1.712E-24      5.819E-29      2.401E-06     -4.730E-20      5.495E-12     -1.572E-12     -8.517E-13      9.365E-20     -3.069E-20     -1.023E-11      9.983E-12     -6.817E-16      4.400E-10      2.907E-15      8.845E-18     -1.074E-15      1.181E-16     -7.113E-19      3.345E-11      3.309E-19      1.061E-09      1.898E-17     -9.168E-17      9.229E-31      1.385E-15      4.642E-07      2.550E-15      2.077E-10      4.060E-13      2.438E-06
          6.000         549.650       9.999E-01     -4.229E-06     -9.341E-10      5.932E-06      3.886E-06      6.208E-08      2.479E-06     -4.070E-12     -5.780E-06      1.007E-06      5.032E-06      1.293E-12     -6.451E-13     -2.364E-11     -1.120E-12      5.870E-11      4.190E-06     -7.657E-14     -2.071E-15      5.494E-14     -2.440E-14     -1.683E-16      1.333E-13     -5.490E-15     -2.036E-14      2.851E-08     -1.388E-13      2.897E-12     -3.266E-12     -1.867E-15     -1.098E-16      2.416E-09     -1.646E-15      9.145E-19      6.523E-10     -2.252E-19     -1.776E-09      1.496E-15     -2.483E-22      5.398E-14      3.324E-06      8.736E-06      1.033E-11      1.532E-11      1.187E-11      3.056E-15     -6.541E-17      8.263E-16     -4.395E-11      5.533E-20     -6.637E-23     -9.542E-24      2.342E-20     -7.341E-17     -7.811E-17     -5.187E-16     -1.899E-17      2.877E-18     -7.153E-11     -1.040E-07      1.318E-14     -1.641E-15      9.256E-18      6.223E-15     -1.972E-15      1.191E-16      2.624E-13      4.469E-14     -3.033E-12      4.311E-07      5.947E-12      7.982E-13      5.191E-13      8.616E-14      3.317E-12     -1.166E-14     -3.931E-14     -1.649E-21     -5.624E-22      6.147E-20     -7.492E-24      2.303E-28      3.834E-06      5.717E-20      6.330E-11     -2.684E-12     -6.311E-13      1.437E-18     -8.544E-20     -2.744E-12      2.747E-11     -2.900E-15      2.167E-09      5.326E-14     -4.309E-16     -9.445E-16      1.332E-15     -2.086E-17      4.890E-11     -3.796E-18      2.636E-09      4.226E-17      1.002E-16     -4.563E-29      3.416E-15      6.107E-07      1.223E-14      2.638E-10      6.638E-13      3.912E-06
          8.000         550.150       9.998E-01     -7.530E-06     -6.121E-10      2.333E-05      8.319E-06      1.083E-07      6.985E-06     -1.016E-11     -2.298E-05     -3.655E-07      8.287E-06      2.131E-12     -4.704E-13     -1.706E-11      2.319E-13      1.106E-10      7.495E-06     -7.957E-14     -1.617E-15      7.195E-14     -1.825E-14     -1.276E-15      2.200E-13     -7.307E-15     -2.703E-14      5.595E-08     -9.178E-14      2.282E-12     -5.412E-12     -1.864E-15     -3.777E-16     -1.388E-10     -2.277E-15     -2.598E-16     -5.339E-10     -4.905E-19     -8.546E-10      6.188E-15     -8.109E-22      3.086E-13      6.370E-06      1.502E-05     -1.652E-11      4.331E-11      4.986E-11     -1.706E-14     -9.130E-17      5.169E-16      2.052E-11      8.350E-20     -2.448E-22     -4.054E-23      3.543E-20     -7.983E-16     -1.037E-16     -7.632E-16     -5.620E-17      1.893E-18     -5.150E-11     -5.182E-08      5.096E-14     -7.694E-15      4.952E-16      2.383E-14     -4.889E-15     -1.699E-16      8.644E-13      8.414E-14      1.174E-12      4.801E-07      9.701E-11      4.384E-12      1.087E-12      1.927E-13      1.175E-11     -7.152E-14     -8.578E-14     -1.037E-20     -8.026E-22      1.737E-19     -2.472E-23      2.851E-28      6.986E-06      9.897E-20      1.297E-10     -4.811E-12     -5.900E-13      6.067E-18     -2.768E-19     -1.908E-12      2.609E-11     -1.124E-14      8.380E-10      2.303E-13     -7.106E-15     -6.284E-17      6.765E-15     -2.303E-16      9.067E-11     -6.277E-17      7.423E-09      6.305E-17      9.036E-17     -7.368E-28      1.656E-15      9.217E-07      5.743E-14      3.787E-10      1.023E-12      7.219E-06
         10.001         550.650       9.996E-01     -1.382E-05     -4.488E-10      5.626E-05      1.493E-05      1.833E-07      1.400E-05     -2.006E-11     -5.547E-05     -1.510E-06      1.431E-05      3.230E-12     -3.037E-13     -1.541E-11      1.756E-13      2.059E-10      1.396E-05     -1.069E-13     -1.666E-15      9.454E-14     -2.349E-14     -4.886E-15      3.342E-13     -6.152E-15     -2.233E-14      1.030E-07     -5.664E-14      1.848E-12     -1.001E-11     -5.992E-15      2.746E-16     -1.226E-09     -7.018E-15      2.863E-16     -3.626E-10     -2.428E-18     -4.850E-10      2.618E-14     -5.324E-21      1.761E-12      1.267E-05      2.676E-05     -3.692E-11      7.417E-11      2.098E-10     -1.772E-13     -2.196E-16      7.776E-16      4.669E-11      1.158E-19     -4.580E-22     -7.487E-23      4.167E-20     -2.436E-15     -4.275E-16     -1.067E-15     -9.185E-17      4.989E-19     -3.776E-11     -2.913E-08      5.851E-14     -1.890E-14      5.808E-17      1.636E-14     -1.299E-14      1.268E-16      2.839E-12      1.410E-13      3.652E-12      5.735E-07      1.346E-10      1.860E-12      1.658E-12      3.755E-13      4.008E-11     -4.258E-13      1.306E-13     -2.416E-20     -1.866E-21      3.553E-19     -3.007E-23      3.277E-28      1.307E-05      1.479E-19      2.421E-10     -9.431E-12     -7.349E-13      1.994E-17     -1.040E-18     -2.163E-12      1.397E-11     -2.357E-14     -8.476E-10      3.564E-13     -1.743E-14     -1.088E-15      2.283E-14     -9.232E-16      1.356E-10     -2.980E-16      2.331E-08      4.127E-17     -4.664E-17     -4.170E-27     -8.274E-15      1.449E-06      2.702E-13      5.581E-10      1.551E-12      1.380E-05
         12.001         551.150       9.993E-01     -2.555E-05     -3.468E-10      1.509E-04      2.716E-05      2.975E-07      2.819E-05     -4.381E-11     -1.492E-04     -4.931E-06      2.474E-05      4.689E-12     -1.153E-13     -8.459E-12      1.502E-12      3.727E-10      2.691E-05     -1.058E-13     -1.914E-15      1.177E-13     -5.020E-14     -1.938E-14      4.864E-13     -6.210E-15     -2.201E-14      1.736E-07     -1.573E-14      1.593E-12     -2.066E-11     -1.315E-14     -2.489E-15     -8.184E-10     -1.637E-14     -3.178E-15     -2.498E-10     -6.786E-18     -2.606E-10      1.035E-13     -2.301E-20      9.579E-12      2.608E-05      4.722E-05     -1.717E-10      1.613E-10      8.349E-10     -1.466E-12     -3.004E-16     -1.265E-15      4.000E-11      1.551E-19     -8.589E-22     -1.363E-22      5.516E-20     -6.027E-17     -1.379E-15     -1.757E-15     -1.561E-16      8.903E-19     -3.826E-11     -1.669E-08      1.408E-13     -5.125E-14     -6.697E-16      5.954E-14     -3.535E-14     -1.797E-15      1.068E-11      1.394E-13      4.957E-12      7.337E-07      2.208E-10      7.288E-12      2.074E-12      4.654E-13      1.268E-10     -1.709E-12      2.054E-13     -1.716E-20     -2.946E-21      9.391E-19     -3.903E-23      4.209E-28      2.446E-05      2.132E-19      4.555E-10     -1.968E-11     -7.254E-13      7.166E-17     -4.057E-18     -1.991E-12      1.754E-11     -6.919E-14     -4.977E-10      8.942E-13     -4.916E-14     -1.757E-15      8.335E-14     -4.168E-15      1.053E-10     -9.582E-16      7.781E-08     -6.757E-16     -1.753E-15     -2.598E-26     -1.138E-13      2.326E-06      1.269E-12      7.882E-10      2.234E-12      2.675E-05
         14.001         551.650       9.988E-01     -4.626E-05     -2.965E-10      4.131E-04      8.760E-05      4.399E-07      9.488E-05     -9.755E-11     -4.099E-04     -5.380E-05      4.064E-05      6.395E-12      1.742E-13      3.131E-11      4.691E-15      6.317E-10      5.380E-05      1.889E-13     -1.818E-15      1.376E-13     -1.541E-13     -7.801E-14      6.649E-13     -7.787E-15     -2.640E-14      2.374E-07      4.780E-14      1.581E-12     -4.498E-11     -6.864E-14      2.544E-14     -6.060E-10     -9.342E-14      3.410E-14     -1.728E-10     -3.390E-17     -1.322E-10      3.345E-13     -1.533E-19      4.586E-11      5.539E-05      7.804E-05     -3.495E-10      2.335E-10      2.761E-09     -1.544E-11     -8.349E-16     -1.102E-14      1.047E-10      2.001E-19     -1.592E-21     -2.487E-22      7.232E-20      7.998E-15     -1.266E-14     -3.815E-15     -2.680E-16      1.127E-18     -6.858E-11     -9.319E-09      2.351E-13     -1.631E-13      1.777E-14      2.822E-14     -1.350E-13      2.405E-14      4.110E-11      9.761E-13      1.200E-12      1.037E-06      3.641E-10     -3.357E-11      1.767E-12      3.131E-13      3.144E-10     -6.332E-12      3.475E-13     -4.894E-20     -3.566E-20      2.274E-18     -5.611E-23      5.989E-28      4.454E-05      2.928E-19      7.910E-10     -4.779E-11     -7.783E-13      2.133E-16     -2.346E-17     -2.258E-12      1.541E-11     -1.837E-13     -3.307E-10      2.028E-12     -1.684E-13      1.920E-14      2.535E-13     -2.381E-14      1.081E-11     -2.731E-15      2.602E-07     -2.708E-15     -6.305E-15     -1.819E-25     -5.331E-13      3.783E-06      5.717E-12      9.873E-10      2.889E-12      5.120E-05
         16.001         552.150       9.979E-01     -7.866E-05     -8.503E-11      5.902E-04      1.578E-04      5.403E-07      1.747E-04     -1.142E-10     -5.820E-04     -1.141E-04      5.935E-05      7.729E-12      6.331E-13     -1.051E-10      2.505E-11      8.549E-10      1.080E-04     -1.532E-12     -6.037E-15      4.431E-13     -2.939E-13     -1.436E-13      8.066E-13     -6.934E-15     -2.244E-14      2.172E-07      1.392E-13      1.985E-12     -5.151E-11      1.799E-13     -2.279E-13     -4.457E-10      2.831E-13     -3.605E-13     -1.140E-10     -3.780E-17     -6.418E-11      7.861E-13     -1.846E-19      1.186E-10      1.120E-04      1.126E-04      1.342E-10     -1.660E-11      6.360E-09     -1.671E-11     -4.130E-15     -1.277E-14     -1.065E-11      2.386E-19     -1.566E-21     -2.448E-22      8.904E-20     -2.871E-13      2.152E-14     -5.134E-15     -2.636E-16      1.657E-18      1.466E-10     -5.008E-09      1.037E-12     -3.785E-14     -1.555E-13      6.800E-13      1.441E-13     -3.001E-13      1.646E-10     -1.098E-11      1.739E-10      1.597E-06      5.284E-10     -1.627E-10      6.163E-13      9.489E-14      5.268E-10      6.346E-12     -5.861E-11     -5.188E-19      2.038E-19      4.708E-18     -4.669E-23      4.889E-28      7.575E-05      3.646E-19      1.060E-09     -2.371E-11     -9.356E-13      6.096E-16      2.260E-17     -2.653E-12      7.494E-12     -1.300E-14     -2.161E-10      4.439E-12     -6.913E-14     -1.508E-13      6.361E-13      3.652E-15     -4.878E-11     -2.635E-15      8.135E-07     -6.391E-17      5.280E-15     -5.485E-25      2.022E-13      9.453E-06      2.268E-11      2.690E-09      3.174E-12      9.162E-05
         18.001         552.650       9.964E-01     -1.208E-04     -1.408E-10      1.784E-03      4.834E-06      4.867E-07      4.573E-05     -2.986E-10     -1.784E-03      4.338E-05      7.595E-05      7.749E-12      1.202E-12     -4.899E-12      2.343E-11      1.058E-09      1.984E-04     -5.646E-13     -6.460E-15      3.074E-14     -9.466E-13     -5.059E-13      8.109E-13     -1.835E-14     -5.785E-14      1.109E-07      2.959E-13      3.040E-12     -1.341E-10     -5.618E-14     -9.209E-14     -3.305E-10     -1.086E-13     -1.716E-13     -7.950E-11     -2.262E-16     -3.237E-11      1.003E-12     -1.554E-18      2.996E-10      2.180E-04      1.374E-04     -8.490E-10      2.938E-10      9.454E-09     -1.474E-10     -1.632E-15     -5.211E-14     -8.917E-11      2.451E-19     -3.597E-21     -5.673E-22      9.692E-20      1.260E-13     -2.797E-14     -1.662E-14     -5.181E-16      9.783E-20     -9.048E-11     -2.756E-09      6.155E-13     -5.260E-13     -5.904E-14      4.779E-13     -4.047E-13     -1.312E-13      4.640E-10     -1.915E-11     -1.953E-12      2.505E-06      6.239E-10      8.580E-11     -4.512E-13     -7.569E-14      6.501E-10     -2.913E-11     -1.036E-11      2.839E-19      3.666E-20      7.117E-18     -8.939E-23      9.198E-28      1.157E-04      3.912E-19      1.311E-09     -1.143E-10     -1.285E-12      1.115E-15     -1.205E-16     -3.713E-12     -9.498E-13     -5.500E-13     -1.506E-10      5.531E-12     -6.432E-13     -7.977E-14      8.996E-13     -1.236E-13     -6.789E-11     -1.051E-14      2.225E-06     -1.304E-14     -2.919E-14     -2.709E-24     -6.725E-12      5.133E-06      7.092E-11     -7.964E-10      3.091E-12      1.452E-04
